"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 28 10:58:51 CET 2023","Tue Nov 28 10:59:02 CET 2023","11325","chromium","pom-test\CompleteTest.test.ts","MyCompleteTest","","","LogoutPage",""
"passed","Tue Nov 28 10:58:51 CET 2023","Tue Nov 28 10:59:04 CET 2023","12782","chromium","pom-test\CompleteTest.test.ts","MyCompleteTest","","","HomePage: ProductPage, CartPage, CheckoutInfoPage, CheckoutOverviewPage, CheckoutCompletePage",""
